"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.156416667×10^-3,1.242967391×10^-1,1.782459372×10^-1,-6.004646087×10^-1,6.385757901×10^-1
7.793583332×10^-3,-4.618108995×10^-2,1.203649342×10^-1,-4.854802823×10^-1,5.023061964×10^-1
1.774258333×10^-2,-6.342513191×10^-2,2.254803300×10^-2,-1.771963620×10^-1,1.895513436×10^-1
2.769258333×10^-2,-2.186183483×10^-2,-4.529896438×10^-2,7.095362306×10^-2,8.697328682×10^-2
3.764158333×10^-2,-5.288352485×10^-2,-8.198556483×10^-2,1.510037595×10^-1,1.797788514×10^-1
4.759158333×10^-2,-6.643743468×10^-2,-7.688796222×10^-2,1.511715746×10^-1,1.821497637×10^-1
5.754058333×10^-2,-2.497084965×10^-2,-4.693676949×10^-2,1.337199748×10^-1,1.439014778×10^-1
6.749058333×10^-2,5.884046716×10^-2,-2.148500919×10^-2,2.199529570×10^-1,2.286987309×10^-1
7.743958334×10^-2,5.625157131×10^-2,-8.170899153×10^-3,3.072922325×10^-1,3.125052304×10^-1
8.738958334×10^-2,-3.364374597×10^-2,-1.118104577×10^-2,3.079073596×10^-1,3.099417034×10^-1
9.733858333×10^-2,-2.315898024×10^-2,1.319891989×10^-2,3.043481594×10^-1,3.055132599×10^-1
1.072885833×10^-1,-4.167839129×10^-2,2.185864627×10^-2,2.972613341×10^-1,3.009637677×10^-1
1.172375833×10^-1,-1.033253621×10^-1,4.908562124×10^-2,2.300481749×10^-1,2.569196205×10^-1
1.271875833×10^-1,-1.359825183×10^-1,6.180506945×10^-2,1.424311566×10^-1,2.063922147×10^-1
1.371365833×10^-1,-6.375490573×10^-2,5.523221433×10^-2,-5.445278049×10^-2,1.004011494×10^-1
1.470865833×10^-1,5.317094291×10^-2,6.513681293×10^-2,-2.376776218×10^-1,2.521122875×10^-1
1.570355833×10^-1,1.136871398×10^-1,1.021309769×10^-1,-3.204075372×10^-1,3.549880169×10^-1
1.669855833×10^-1,8.844938764×10^-2,1.172559696×10^-1,-3.002241182×10^-1,3.342256390×10^-1
1.769345833×10^-1,3.284716333×10^-2,9.135865152×10^-2,-1.464014161×10^-1,1.756664851×10^-1
1.868845833×10^-1,-4.089253464×10^-2,4.525511026×10^-2,1.603540421×10^-2,6.306630307×10^-2
1.968335833×10^-1,-5.193009979×10^-2,5.274246991×10^-2,-2.269655684×10^-2,7.741858361×10^-2
2.067835833×10^-1,-4.242887685×10^-2,9.121539474×10^-2,-1.007299840×10^-1,1.423621702×10^-1
2.167325833×10^-1,1.198830871×10^-2,1.403185576×10^-1,-5.630752186×10^-2,1.516692262×10^-1
2.266815833×10^-1,1.208689277×10^-1,1.813367754×10^-1,-1.411389220×10^-1,2.596392095×10^-1
2.366315833×10^-1,2.179425747×10^-1,1.970453203×10^-1,-2.219310701×10^-1,3.682108417×10^-1
2.465805833×10^-1,2.012696047×10^-1,1.880429471×10^-1,-1.637559521×10^-1,3.204459636×10^-1
